eta	theta	x4	x5	re_lmb_off	im_lmb_off	abs_lmb_off	re_lmb_on	im_lmb_on	abs_lmb_on
1.0000000000000000e-02	2.8168052860714143e-04	6.3030175509175368e-01	6.0390249286615338e-01	-2.7211535416361204e-01	1.7329347755517968e+00	1.7541692342212436e+00	-8.5680040897910423e+00	1.1366399814463229e+02	1.1398646923343861e+02
1.1406249238510000e-02	3.2129183149283013e-04	6.3029811847548511e-01	6.0391848749067845e-01	-2.7356577920439640e-01	1.7427273771524432e+00	1.7640682942075521e+00	-8.8677481537255556e+00	1.1442967189387694e+02	1.1477276143344393e+02
1.3010252169110000e-02	3.6647347083071131e-04	6.3029397039863011e-01	6.0393673115899782e-01	-2.7521485956078040e-01	1.7538709465789819e+00	1.7753327902612834e+00	-9.2101087538773534e+00	1.1530100271256521e+02	1.1566826414268183e+02
1.4839817889680000e-02	4.1800877475987760e-04	6.3028923891849353e-01	6.0395754008275526e-01	-2.7708886118037807e-01	1.7665471099746799e+00	1.7881462268925694e+00	-9.6011950890136681e+00	1.1629218268905274e+02	1.1668785156014022e+02
1.6926666150380000e-02	4.7679122687956457e-04	6.3028384196984055e-01	6.0398127492275910e-01	-2.7921720723238774e-01	1.7809602857175042e+00	1.8027151156290970e+00	-1.0047998861182185e+01	1.1741917095605190e+02	1.1784830923318697e+02
1.9306977288830001e-02	5.4383995685237084e-04	6.3027768593972500e-01	6.0400834703419071e-01	-2.8163274500582147e-01	1.7973399524724165e+00	1.8192712573481347e+00	-1.0558519744678909e+01	1.1869985993886125e+02	1.1916853229231303e+02
2.2022019499870000e-02	6.2031740937201578e-04	6.3027066404139243e-01	6.0403922558839929e-01	-2.8437198975643885e-01	1.8159429022859801e+00	1.8380740063775629e+00	-1.1141906127967523e+01	1.2015423395470926e+02	1.2066972283637452e+02
2.5118864315099999e-02	7.0754949782884284e-04	6.3026265445884722e-01	6.0407444569405411e-01	-2.8747532108541218e-01	1.8370553544016013e+00	1.8594123898072621e+00	-1.1808611200333468e+01	1.2180450688686987e+02	1.2237557434567640e+02
2.8651202696640000e-02	8.0704859208199106e-04	6.3025351822963427e-01	6.0411461765753915e-01	-2.9098709594560063e-01	1.8609947388163024e+00	1.8836068878374839e+00	-1.2570563179719281e+01	1.2367521886486907e+02	1.2431242423800036e+02
3.2680275894099997e-02	9.2053973888773079e-04	6.3024309682875590e-01	6.0416043754195181e-01	-2.9495562732801917e-01	1.8881108699216560e+00	1.9110105910770818e+00	-1.3441346318876892e+01	1.2579326215133185e+02	1.2650934587427793e+02
3.7275937203149999e-02	1.0499905695709900e-03	6.3023120941135580e-01	6.0421269920621434e-01	-2.9943295566149547e-01	1.9187860974675319e+00	1.9420093158300915e+00	-1.4436385815188871e+01	1.2818779262867429e+02	1.2899813725173317e+02
4.2517863033829997e-02	1.1976454134615272e-03	6.3021764966573457e-01	6.0427230803100085e-01	-3.0447431162304911e-01	1.9534338477229722e+00	1.9770200818069872e+00	-1.5573124174344139e+01	1.3088996381912008e+02	1.3181314359774638e+02
4.8496934285279999e-02	1.3660642085303470e-03	6.3020218222131796e-01	6.0434029656680899e-01	-3.1013712888277112e-01	1.9924947147098724e+00	2.0164871005931144e+00	-1.6871167930305468e+01	1.3393239329238051e+02	1.3499082294866366e+02
5.5316811976169999e-02	1.5581668838309415e-03	6.3018453854822665e-01	6.0441784237202245e-01	-3.1647941360265380e-01	2.0364289281354164e+00	2.0608740860569430e+00	-1.8352370451975833e+01	1.3734823416525512e+02	1.3856892483352937e+02
6.3095734448019997e-02	1.7772839832174096e-03	6.3016441227596065e-01	6.0450628834572562e-01	-3.2355720899463269e-01	2.0857035712718535e+00	2.1106512394776549e+00	-2.0040796899428852e+01	1.4116967446043623e+02	1.4258509924823736e+02
7.1968567300119995e-02	2.0272144080196431e-03	6.3014145384820308e-01	6.0460716590190600e-01	-3.3142080738860275e-01	2.1407723352096877e+00	2.1662746692811723e+00	-2.1962488635922121e+01	1.4542562188588064e+02	1.4707468309664358e+02
8.2089141596380005e-02	2.3122912797774800e-03	6.3011526441868193e-01	6.0472222137913323e-01	-3.4010925852010648e-01	2.2020448564872925e+00	2.2281552588886702e+00	-2.4144903459800620e+01	1.5013825016487934e+02	1.5206732234656789e+02
9.3632920882390003e-02	2.6374570649182268e-03	6.3008538887912535e-01	6.0485344613353242e-01	-3.4964260765830252e-01	2.2698418113624403e+00	2.2966131153721174e+00	-2.6615851706378052e+01	1.5531798842529599e+02	1.5758198212529339e+02
1.0680004325146000e-01	3.0083492638336819e-03	6.3005130789433428e-01	6.0500311082362002e-01	-3.6001118701572565e-01	2.3443310020502102e+00	2.3718127881327846e+00	-2.9401674623114321e+01	1.6095643935815747e+02	1.6361978438287866e+02
1.2181879120101000e-01	3.4313981499783483e-03	6.3001242880089936e-01	6.0517380446416957e-01	-3.7116121713595368e-01	2.4254388698206690e+00	2.4536736458508099e+00	-3.2524322483914069e+01	1.6701664423057349e+02	1.7015402141318788e+02
1.3894954943731000e-01	3.9139382535225611e-03	6.2996807520471687e-01	6.0536847890359324e-01	-3.8297602271867259e-01	2.5127316092899461e+00	2.5417495498774572e+00	-3.5996897341005827e+01	1.7342013365206435e+02	1.7711668293551224e+02
1.5848931924611001e-01	4.4643355223830256e-03	6.2991747508767604e-01	6.0559049946628829e-01	-3.9525245497088807e-01	2.6052610944785153e+00	2.6350730300247669e+00	-3.9817160196345611e+01	1.8003042225804955e+02	1.8438101633441843e+02
1.8077686769633999e-01	5.0921323652648315e-03	6.2985974720512361e-01	6.0584370259897846e-01	-4.0767283496058299e-01	2.7013744048499020e+00	2.7319628137189129e+00	-4.3958530410565942e+01	1.8663320321144101e+02	1.9174020167095810e+02
2.0619860095022000e-01	5.8082130913710978e-03	6.2979388552220406e-01	6.0613246146920230e-01	-4.1977415748148600e-01	2.7984936858056826e+00	2.8298016278148483e+00	-4.8358345461140274e+01	1.9291473173409068e+02	1.9888344148212832e+02
2.3519526350709999e-01	6.6249926150575844e-03	6.2971874139804274e-01	6.0646176058570223e-01	-4.3091871514706093e-01	2.8928876152105159e+00	2.9248059240404958e+00	-5.2903786754374373e+01	1.9844204734526906e+02	2.0537297000222381e+02
2.5000000000000000e-01	7.0420132151785353e-03	6.2968036678603001e-01	6.0662986244457628e-01	-4.3553954452108351e-01	2.9343935385253590e+00	2.9665400947536527e+00	-5.5015303740393882e+01	2.0059805825343011e+02	2.0800544372850999e+02
2.6826957952796998e-01	7.5566316970654144e-03	6.2963300318086790e-01	6.0683728064529907e-01	-4.4027388133173029e-01	2.9794786723245932e+00	3.0118323740573656e+00	-5.7417141677939277e+01	2.0265193777995393e+02	2.1062890600398339e+02
3.0599496872072002e-01	8.6192824540378115e-03	6.2953517282319083e-01	6.0726549495946358e-01	-4.4681322306774474e-01	3.0517610396883592e+00	3.0842969214503264e+00	-6.1644128195682967e+01	2.0485956428053089e+02	2.1393325972885742e+02
3.4902548789596000e-01	9.8313683927899447e-03	6.2942353906235204e-01	6.0775377897635408e-01	-4.4935509987363248e-01	3.1019356563073863e+00	3.1343140910976963e+00	-6.5251687312944966e+01	2.0430101221113074e+02	2.1446838062446159e+02
3.9810717055349998e-01	1.1213903824380327e-02	6.2929614663591071e-01	6.0831053459011375e-01	-4.4665560785102015e-01	3.1213848578962322e+00	3.1531800873290834e+00	-6.7844005166629358e+01	2.0022354444985916e+02	2.1140547956265078e+02
4.5409096109725000e-01	1.2790858195759827e-02	6.2915076091071875e-01	6.0894533111725091e-01	-4.3756589831832926e-01	3.1015811987862869e+00	3.1322946617513026e+00	-6.9005439766497361e+01	1.9202834628985806e+02	2.0405057337872231e+02
5.0000000000000000e-01	1.4084026430357071e-02	6.2903147556517813e-01	6.0946568858925820e-01	-4.2635798031128630e-01	3.0580040258870596e+00	3.0875831567289946e+00	-6.8734613070366464e+01	1.8324785694522083e+02	1.9571464970448460e+02
5.1794746792311996e-01	1.4589571655531486e-02	6.2898482719545656e-01	6.0966906501708573e-01	-4.2124568412662400e-01	3.0354235475124645e+00	3.0645136709090504e+00	-6.8373518848386183e+01	1.7944934780741593e+02	1.9203386812804024e+02
5.9078379115878998e-01	1.6641229058613899e-02	6.2879542387420795e-01	6.1049414063447427e-01	-3.9739586278738909e-01	2.9188121748102960e+00	2.9457406511064996e+00	-6.5732392436277252e+01	1.6272107329578719e+02	1.7549613987187783e+02
6.7386271680308996e-01	1.8981400627773880e-02	6.2857920833707204e-01	6.1143467444014155e-01	-3.6644371001746068e-01	2.7520651710437942e+00	2.7763543898939971e+00	-6.1099998880576663e+01	1.4266337978194818e+02	1.5519680987061187e+02
7.6862461003977001e-01	2.1650658645646036e-02	6.2833235448453173e-01	6.1250672542419238e-01	-3.2960338001082035e-01	2.5406609733316987e+00	2.5619517110057584e+00	-5.4770858479803373e+01	1.2061602703932685e+02	1.3246913949054803e+02
8.7671238729686995e-01	2.4695280869021122e-02	6.2805048033408517e-01	6.1372855444233720e-01	-2.8876045630532077e-01	2.2948971341462245e+00	2.3129927491106002e+00	-4.7283883531555240e+01	9.8207251507381329e+01	1.0899738478724952e+02
1.0000000000000000e+00	2.8168052860714141e-02	6.2772856394516463e-01	6.1512091539310454e-01	-2.4619072219930271e-01	2.0284102128865307e+00	2.0432958335589575e+00	-3.9314640470907044e+01	7.7020760957166218e+01	8.6474496666807042e+01
1.1406249238513200e+00	3.2129183149292022e-02	6.2736084548049609e-01	6.1670738107508927e-01	-2.0419123197375755e-01	1.7559518263420346e+00	1.7677841711161710e+00	-3.1528998202699444e+01	5.8283714395503175e+01	6.6265142355558311e+01
1.3010252169108301e+00	3.6647347083066342e-02	6.2694071270935714e-01	6.1851470637352590e-01	-1.6473601119540943e-01	1.4911033349578520e+00	1.5001756926796947e+00	-2.4454121825979943e+01	4.2688552732055825e+01	4.9196713392638124e+01
1.4839817889675699e+00	4.1800877475975648e-02	6.2646056658928762e-01	6.2057323096412820e-01	-1.2924934036603658e-01	1.2445706261858691e+00	1.2512639352070138e+00	-1.8409555436217133e+01	3.0389096740777799e+01	3.5530394482463933e+01
1.6926666150378800e+00	4.7679122687953074e-02	6.2591166267890874e-01	6.2291732286710610e-01	-9.8532595848415755e-02	1.0233873306881847e+00	1.0281197892549852e+00	-1.3507278207684367e+01	2.1129422452493383e+01	2.5077859911797027e+01
1.9306977288832501e+00	5.4383995685244130e-02	6.2528392295129609e-01	6.2558586274457562e-01	-7.2822306259062566e-02	8.3098183584572050e-01	8.3416658995335735e-01	-9.6998083611391248e+00	1.4423893297046815e+01	1.7382030378739319e+01
2.0000000000000000e+00	5.6336105721428283e-02	6.2510082203564299e-01	6.2636174682611523e-01	-6.6764888996548324e-02	7.8441894529168832e-01	7.8725512518830010e-01	-8.8483710725783062e+00	1.2989116089690750e+01	1.5716577471876747e+01
2.2022019499873799e+00	6.2031740937212275e-02	6.2456571097274449e-01	6.2862276653451377e-01	-5.1925017893914710e-02	6.6782134103117863e-01	6.6983695853540748e-01	-6.8451099229045287e+00	9.7176676532127377e+00	1.1886487894872193e+01
2.5118864315095801e+00	7.0754949782872459e-02	6.2374356120725161e-01	6.3207754045661935e-01	-3.5373216155760001e-02	5.3229237610469837e-01	5.3346643575804076e-01	-4.7641198729769396e+00	6.4933915152389385e+00	8.0536309534439710e+00
2.8651202696637799e+00	8.0704859208192911e-02	6.2280185013904665e-01	6.3600585703794799e-01	-2.2563751232573443e-02	4.2155511610370716e-01	4.2215854697364058e-01	-3.2800428192951663e+00	4.3227208255865657e+00	5.4262875184023915e+00
3.2680275894101301e+00	9.2053973888776758e-02	6.2172239258074946e-01	6.4047013276672515e-01	-1.2861139448602113e-02	3.3222946762319766e-01	3.3247831217255319e-01	-2.2391873417132109e+00	2.8780602225369782e+00	3.6465313101409507e+00
3.7275937203149399e+00	1.0499905695709731e-01	6.2048394036031873e-01	6.4554007611123421e-01	-5.6638389102020240e-03	2.6087245031940581e-01	2.6093392728208337e-01	-1.5181887826027527e+00	1.9224756595289758e+00	2.4496550453282597e+00
4.0000000000000000e+00	1.1267221144285657e-01	6.1974610028904664e-01	6.4853380970191954e-01	-2.6487163357495312e-03	2.2888558793915634e-01	2.2890091320149977e-01	-1.2296545126995766e+00	1.5519201522616877e+00	1.9800268633527105e+00
4.2517863033828904e+00	1.1976454134614962e-01	6.1906155165140464e-01	6.5129315724713477e-01	-4.3993098349831219e-04	2.0426722318285515e-01	2.0426769692270141e-01	-1.0232321700138785e+00	1.2913146570646892e+00	1.6475732509668293e+00
4.8496934285281998e+00	1.3660642085304034e-01	6.1742578613286148e-01	6.5781492550816134e-01	3.2588230082965046e-03	1.5956879111716440e-01	1.5960206460441748e-01	-6.8562442236516841e-01	8.7335502176127267e-01	1.1103287092474929e+00
5.5316811976172300e+00	1.5581668838310064e-01	6.1554166175026626e-01	6.6519906388162853e-01	5.7963024591916662e-03	1.2435349256316626e-01	1.2448850643676258e-01	-4.5639924233220930e-01	5.9492012649419546e-01	7.4982012863705139e-01
6.3095734448019396e+00	1.7772839832173926e-01	6.1336727964250759e-01	6.7354701696391550e-01	7.4584556025107393e-03	9.6611076296534509e-02	9.6898548096188919e-02	-3.0130832942410946e-01	4.0781652790869566e-01	5.0705130885922345e-01
7.1968567300115200e+00	2.0272144080195081e-01	6.1085197921843870e-01	6.8296695287893816e-01	8.4626562892065223e-03	7.4707315602859051e-02	7.5185101955470096e-02	-1.9671213759770217e-01	2.8074281729113026e-01	3.4280051712157361e-01
8.2089141596382600e+00	2.3122912797775530e-01	6.0793381632460763e-01	6.9357171133781126e-01	8.9675517610619607e-03	5.7335439984262306e-02	5.8032487994021678e-02	-1.2643879220269330e-01	1.9342307260054958e-01	2.3108278427419324e-01
9.3632920882394206e+00	2.6374570649183449e-01	6.0453604886452850e-01	7.0547523647639077e-01	9.0822874068735970e-03	4.3467378321846099e-02	4.4406091054218576e-02	-7.9487631279030080e-02	1.3271236134864683e-01	1.5469600635144029e-01
1.0680004325145759e+01	3.0083492638336140e-01	6.0056214083247550e-01	7.1878677735775542e-01	8.8750133311111569e-03	3.2310784116758376e-02	3.3507501128361782e-02	-4.8398480491566517e-02	9.0059096623103241e-02	1.0224017702675398e-01
1.2181879120101160e+01	3.4313981499783935e-01	5.9588851475924942e-01	7.3360183939027612e-01	8.3814489507953796e-03	2.3274387860980943e-02	2.4737538616810002e-02	-2.8115479769342602e-02	5.9870130532207966e-02	6.6143123093817799e-02
1.3894954943731390e+01	3.9139382535226708e-01	5.9035382185610230e-01	7.4998846049158785e-01	7.6151062314151769e-03	1.5941538656968936e-02	1.7666988924753792e-02	-1.5204700378645498e-02	3.8462589945455476e-02	4.1358841121538155e-02
1.5848931924611129e+01	4.4643355223830622e-01	5.8374273962190104e-01	7.6796683937254706e-01	6.5814582346102636e-03	1.0048965473471373e-02	1.2012381095392329e-02	-7.3187337392877526e-03	2.3390358277291155e-02	2.4508625499742569e-02
