R	epsilon	W_toy
2.9400480643347106e+02	2.9999999999999999e-02	9.7377738954222714e+03
3.4013049382792531e+02	2.9999999999999999e-02	1.1283626862922081e+04
3.9349272630958495e+02	2.9999999999999999e-02	1.3069614085160616e+04
4.5522682755073095e+02	2.9999999999999999e-02	1.5133710680825452e+04
5.2664623934842803e+02	2.9999999999999999e-02	1.7519816835260910e+04
6.0927046613686809e+02	2.9999999999999999e-02	2.0278689023474799e+04
7.0485740364519029e+02	2.9999999999999999e-02	2.3469018057799804e+04
8.1544073951851703e+02	2.9999999999999999e-02	2.7158676577736544e+04
9.4337322162997839e+02	2.9999999999999999e-02	3.1426162308139228e+04
1.0913767146512739e+03	2.9999999999999999e-02	3.6362267648653826e+04
1.2626001098748563e+03	2.9999999999999999e-02	4.2072011021284488e+04
1.4606863203649889e+03	2.9999999999999999e-02	4.8676871004607427e+04
1.6898497868124587e+03	2.9999999999999999e-02	5.6317370746750319e+04
1.9549661430912615e+03	2.9999999999999999e-02	6.5156067615920809e+04
2.2616759492228643e+03	2.9999999999999999e-02	7.5381011678328461e+04
2.6165046987488236e+03	2.9999999999999999e-02	8.7209746574094097e+04
3.0270016537634647e+03	2.9999999999999999e-02	1.0089393790564408e+05
3.5019004614317128e+03	2.9999999999999999e-02	1.1672472760648406e+05
4.0513049692353820e+03	2.9999999999999999e-02	1.3503892820571602e+05
4.6869041923141922e+03	2.9999999999999999e-02	1.5622618877419454e+05
5.4222210065015915e+03	2.9999999999999999e-02	1.8073728501220851e+05
6.2728998581962496e+03	2.9999999999999999e-02	2.0909370985602800e+05
7.2570396123242163e+03	2.9999999999999999e-02	2.4189876865051832e+05
8.3955786199951199e+03	2.9999999999999999e-02	2.7985041494603845e+05
9.7127401984711778e+03	2.9999999999999999e-02	3.2375610001112707e+05
1.1236548001387515e+04	2.9999999999999999e-02	3.7454995199595136e+05
1.2999422244132476e+04	2.9999999999999999e-02	4.3331265024670481e+05
1.5038869469554102e+04	2.9999999999999999e-02	5.0129441761263751e+05
1.7398280529303658e+04	2.9999999999999999e-02	5.7994161992519582e+05
2.0127853758499383e+04	2.9999999999999999e-02	6.7092753857416927e+05
2.3285662984981966e+04	2.9999999999999999e-02	7.7618797089173435e+05
2.6938893095901753e+04	2.9999999999999999e-02	8.9796241577066085e+05
3.1165269449294301e+04	2.9999999999999999e-02	1.0388417207732834e+06
3.6054711542505058e+04	2.9999999999999999e-02	1.2018232044611250e+06
4.1711246120565243e+04	2.9999999999999999e-02	1.3903744267162820e+06
4.8255220427412787e+04	2.9999999999999999e-02	1.6085069638185923e+06
5.5825862688626999e+04	2.9999999999999999e-02	1.8608617579016453e+06
6.4584244301969913e+04	2.9999999999999999e-02	2.1528078566647479e+06
7.4716706758680826e+04	2.9999999999999999e-02	2.4905566441062954e+06
8.6438826205982783e+04	2.9999999999999999e-02	2.8812939926276859e+06
1.0000000000000000e+05	2.9999999999999999e-02	3.3333331481481632e+06
1.0000000000000000e+00	1.0000000000000000e-02	9.9995000374968768e-01
1.1568875283162823e+00	1.0000000000000000e-02	1.3382991979404044e+00
1.3383887531737571e+00	1.0000000000000000e-02	1.7911240411727727e+00
1.5483652565854986e+00	1.0000000000000000e-02	2.3971476347434777e+00
1.7912844546220039e+00	1.0000000000000000e-02	3.2081853334386445e+00
2.0723146452190302e+00	1.0000000000000000e-02	4.2935661543348829e+00
2.3974349678010771e+00	1.0000000000000000e-02	5.7460433369873378e+00
2.7735626141984144e+00	1.0000000000000000e-02	7.6896924380120435e+00
3.2086999973704500e+00	1.0000000000000000e-02	1.0290459633035512e+01
3.7121050090663621e+00	1.0000000000000000e-02	1.3770239359852342e+01
4.2944879887892746e+00	1.0000000000000000e-02	1.8425644048443928e+01
4.9682395947343858e+00	1.0000000000000000e-02	2.4652997427386865e+01
5.7476944248353528e+00	1.0000000000000000e-02	3.2981557199572158e+01
6.6494359966650469e+00	1.0000000000000000e-02	4.4117573722449521e+01
7.6926495748791419e+00	1.0000000000000000e-02	5.9002535764263577e+01
8.8995303528852308e+00	1.0000000000000000e-02	7.8889846386830513e+01
1.0295755673125127e+01	1.0000000000000000e-02	1.0544518502362310e+02
1.1911031332830067e+01	1.0000000000000000e-02	1.4087685814341211e+02
1.3779723598335575e+01	1.0000000000000000e-02	1.8810332013660013e+02
1.5941590374559995e+01	1.0000000000000000e-02	2.5096536533577100e+02
1.8442627085855346e+01	1.0000000000000000e-02	3.3448955427467945e+02
2.1336045265014107e+01	1.0000000000000000e-02	4.4520611254451472e+02
2.4683404670686500e+01	1.0000000000000000e-02	5.9151718437512432e+02
2.8555923019901090e+01	1.0000000000000000e-02	7.8409790600158510e+02
3.3035991201283395e+01	1.0000000000000000e-02	1.0362915465291760e+03
3.8218926206331190e+01	1.0000000000000000e-02	1.3644312229135048e+03
4.4214999073744892e+01	1.0000000000000000e-02	1.7879899165713737e+03
5.1151780992931450e+01	1.0000000000000000e-02	2.3294424856037117e+03
5.9176857481888248e+01	1.0000000000000000e-02	3.0137439148403482e+03
6.8460968385746582e+01	1.0000000000000000e-02	3.8674164933939737e+03
7.9201640501925525e+01	1.0000000000000000e-02	4.9174038680598687e+03
9.1627390118867410e+01	1.0000000000000000e-02	6.1900464291341177e+03
1.0600258488068825e+02	1.0000000000000000e-02	7.7106492791726159e+03
1.2263306841775632e+02	1.0000000000000000e-02	9.5040307284663868e+03
1.4187266741165962e+02	1.0000000000000000e-02	1.1596137893558318e+04
1.6413071953751299e+02	1.0000000000000000e-02	1.4016442772225802e+04
1.8988078244652633e+02	1.0000000000000000e-02	1.6800607740780895e+04
2.1967070907932353e+02	1.0000000000000000e-02	1.9992949953098090e+04
2.5413430367026390e+02	1.0000000000000000e-02	2.3648469305352901e+04
2.9400480643347106e+02	1.0000000000000000e-02	2.7834466578357893e+04
3.4013049382792531e+02	1.0000000000000000e-02	3.2631942781374510e+04
3.9349272630958495e+02	1.0000000000000000e-02	3.8137014476335586e+04
4.5522682755073095e+02	1.0000000000000000e-02	4.4462546372406418e+04
5.2664623934842803e+02	1.0000000000000000e-02	5.1740145099623733e+04
6.0927046613686809e+02	1.0000000000000000e-02	6.0122609987116004e+04
7.0485740364519029e+02	1.0000000000000000e-02	6.9786908990240103e+04
8.1544073951851703e+02	1.0000000000000000e-02	8.0937739046402974e+04
9.4337322162997839e+02	1.0000000000000000e-02	9.3811734457798535e+04
1.0913767146512739e+03	1.0000000000000000e-02	1.0868239922269940e+05
1.2626001098748563e+03	1.0000000000000000e-02	1.2586585618883336e+05
1.4606863203649889e+03	1.0000000000000000e-02	1.4572752577661496e+05
1.6898497868124587e+03	1.0000000000000000e-02	1.6868986925093064e+05
1.9549661430912615e+03	1.0000000000000000e-02	1.9524135620809961e+05
2.2616759492228643e+03	1.0000000000000000e-02	2.2594684354533962e+05
2.6165046987488236e+03	1.0000000000000000e-02	2.6145958433633583e+05
3.0270016537634647e+03	1.0000000000000000e-02	3.0253512050265912e+05
3.5019004614317128e+03	1.0000000000000000e-02	3.5004735379001254e+05
4.0513049692353820e+03	1.0000000000000000e-02	4.0500713626732695e+05
4.6869041923141922e+03	1.0000000000000000e-02	4.6858377541405818e+05
5.4222210065015915e+03	1.0000000000000000e-02	5.4212991103143885e+05
6.2728998581962496e+03	1.0000000000000000e-02	6.2721029305692902e+05
7.2570396123242163e+03	1.0000000000000000e-02	7.2563507242477022e+05
8.3955786199951199e+03	1.0000000000000000e-02	8.3949831317903544e+05
9.7127401984711778e+03	1.0000000000000000e-02	9.7122254516105331e+05
1.1236548001387515e+04	1.0000000000000000e-02	1.1236103051300277e+06
1.2999422244132476e+04	1.0000000000000000e-02	1.2999037628723895e+06
1.5038869469554102e+04	1.0000000000000000e-02	1.5038537008779040e+06
1.7398280529303658e+04	1.0000000000000000e-02	1.7397993151702748e+06
2.0127853758499383e+04	1.0000000000000000e-02	2.0127605351118289e+06
2.3285662984981966e+04	1.0000000000000000e-02	2.3285448263552543e+06
2.6938893095901753e+04	1.0000000000000000e-02	2.6938707492569461e+06
3.1165269449294301e+04	1.0000000000000000e-02	3.1165109015533272e+06
3.6054711542505058e+04	1.0000000000000000e-02	3.6054572865174441e+06
4.1711246120565243e+04	1.0000000000000000e-02	4.1711126249333587e+06
4.8255220427412787e+04	1.0000000000000000e-02	4.8255116812014254e+06
5.5825862688626999e+04	1.0000000000000000e-02	5.5825773124619806e+06
6.4584244301969913e+04	1.0000000000000000e-02	6.4584166883846298e+06
7.4716706758680826e+04	1.0000000000000000e-02	7.4716639839333082e+06
8.6438826205982783e+04	1.0000000000000000e-02	8.6438768361664433e+06
1.0000000000000000e+05	1.0000000000000000e-02	9.9999950000037495e+06
1.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
1.1568875283162823e+00	0.0000000000000000e+00	1.3383887531737568e+00
1.3383887531737571e+00	0.0000000000000000e+00	1.7912844546220039e+00
1.5483652565854986e+00	0.0000000000000000e+00	2.3974349678010771e+00
1.7912844546220039e+00	0.0000000000000000e+00	3.2086999973704500e+00
2.0723146452190302e+00	0.0000000000000000e+00	4.2944879887892746e+00
2.3974349678010771e+00	0.0000000000000000e+00	5.7476944248353519e+00
2.7735626141984144e+00	0.0000000000000000e+00	7.6926495748791428e+00
3.2086999973704500e+00	0.0000000000000000e+00	1.0295755673125125e+01
3.7121050090663621e+00	0.0000000000000000e+00	1.3779723598335575e+01
4.2944879887892746e+00	0.0000000000000000e+00	1.8442627085855349e+01
4.9682395947343858e+00	0.0000000000000000e+00	2.4683404670686492e+01
5.7476944248353528e+00	0.0000000000000000e+00	3.3035991201283395e+01
6.6494359966650469e+00	0.0000000000000000e+00	4.4214999073744885e+01
7.6926495748791419e+00	0.0000000000000000e+00	5.9176857481888241e+01
8.8995303528852308e+00	0.0000000000000000e+00	7.9201640501925525e+01
1.0295755673125127e+01	0.0000000000000000e+00	1.0600258488068823e+02
1.1911031332830067e+01	0.0000000000000000e+00	1.4187266741165959e+02
1.3779723598335575e+01	0.0000000000000000e+00	1.8988078244652635e+02
1.5941590374559995e+01	0.0000000000000000e+00	2.5413430367026388e+02
1.8442627085855346e+01	0.0000000000000000e+00	3.4013049382792525e+02
2.1336045265014107e+01	0.0000000000000000e+00	4.5522682755073089e+02
2.4683404670686500e+01	0.0000000000000000e+00	6.0927046613686809e+02
2.8555923019901090e+01	0.0000000000000000e+00	8.1544073951851703e+02
3.3035991201283395e+01	0.0000000000000000e+00	1.0913767146512739e+03
3.8218926206331190e+01	0.0000000000000000e+00	1.4606863203649891e+03
4.4214999073744892e+01	0.0000000000000000e+00	1.9549661430912615e+03
5.1151780992931450e+01	0.0000000000000000e+00	2.6165046987488231e+03
5.9176857481888248e+01	0.0000000000000000e+00	3.5019004614317132e+03
6.8460968385746582e+01	0.0000000000000000e+00	4.6869041923141931e+03
7.9201640501925525e+01	0.0000000000000000e+00	6.2728998581962496e+03
9.1627390118867410e+01	0.0000000000000000e+00	8.3955786199951217e+03
1.0600258488068825e+02	0.0000000000000000e+00	1.1236548001387517e+04
1.2263306841775632e+02	0.0000000000000000e+00	1.5038869469554102e+04
1.4187266741165962e+02	0.0000000000000000e+00	2.0127853758499386e+04
1.6413071953751299e+02	0.0000000000000000e+00	2.6938893095901749e+04
1.8988078244652633e+02	0.0000000000000000e+00	3.6054711542505058e+04
2.1967070907932353e+02	0.0000000000000000e+00	4.8255220427412794e+04
2.5413430367026390e+02	0.0000000000000000e+00	6.4584244301969913e+04
2.9400480643347106e+02	0.0000000000000000e+00	8.6438826205982783e+04
3.4013049382792531e+02	0.0000000000000000e+00	1.1568875283162833e+05
3.9349272630958495e+02	0.0000000000000000e+00	1.5483652565854992e+05
4.5522682755073095e+02	0.0000000000000000e+00	2.0723146452190293e+05
5.2664623934842803e+02	0.0000000000000000e+00	2.7735626141984173e+05
6.0927046613686809e+02	0.0000000000000000e+00	3.7121050090663653e+05
7.0485740364519029e+02	0.0000000000000000e+00	4.9682395947343874e+05
8.1544073951851703e+02	0.0000000000000000e+00	6.6494359966650594e+05
9.4337322162997839e+02	0.0000000000000000e+00	8.8995303528852435e+05
1.0913767146512739e+03	0.0000000000000000e+00	1.1911031332830081e+06
1.2626001098748563e+03	0.0000000000000000e+00	1.5941590374559993e+06
1.4606863203649889e+03	0.0000000000000000e+00	2.1336045265014111e+06
1.6898497868124587e+03	0.0000000000000000e+00	2.8555923019901118e+06
1.9549661430912615e+03	0.0000000000000000e+00	3.8218926206331230e+06
2.2616759492228643e+03	0.0000000000000000e+00	5.1151780992931444e+06
2.6165046987488236e+03	0.0000000000000000e+00	6.8460968385746721e+06
3.0270016537634647e+03	0.0000000000000000e+00	9.1627390118867494e+06
3.5019004614317128e+03	0.0000000000000000e+00	1.2263306841775643e+07
4.0513049692353820e+03	0.0000000000000000e+00	1.6413071953751300e+07
4.6869041923141922e+03	0.0000000000000000e+00	2.1967070907932349e+07
5.4222210065015915e+03	0.0000000000000000e+00	2.9400480643347133e+07
6.2728998581962496e+03	0.0000000000000000e+00	3.9349272630958527e+07
7.2570396123242163e+03	0.0000000000000000e+00	5.2664623934842810e+07
8.3955786199951199e+03	0.0000000000000000e+00	7.0485740364519164e+07
9.7127401984711778e+03	0.0000000000000000e+00	9.4337322162997931e+07
1.1236548001387515e+04	0.0000000000000000e+00	1.2626001098748575e+08
1.2999422244132476e+04	0.0000000000000000e+00	1.6898497868124622e+08
1.5038869469554102e+04	0.0000000000000000e+00	2.2616759492228648e+08
1.7398280529303658e+04	0.0000000000000000e+00	3.0270016537634677e+08
2.0127853758499383e+04	0.0000000000000000e+00	4.0513049692353773e+08
2.3285662984981966e+04	0.0000000000000000e+00	5.4222210065015924e+08
2.6938893095901753e+04	0.0000000000000000e+00	7.2570396123242307e+08
3.1165269449294301e+04	0.0000000000000000e+00	9.7127401984711671e+08
3.6054711542505058e+04	0.0000000000000000e+00	1.2999422244132473e+09
4.1711246120565243e+04	0.0000000000000000e+00	1.7398280529303691e+09
4.8255220427412787e+04	0.0000000000000000e+00	2.3285662984981961e+09
5.5825862688626999e+04	0.0000000000000000e+00	3.1165269449294362e+09
6.4584244301969913e+04	0.0000000000000000e+00	4.1711246120565333e+09
7.4716706758680826e+04	0.0000000000000000e+00	5.5825862688627014e+09
8.6438826205982783e+04	0.0000000000000000e+00	7.4716706758680964e+09
1.0000000000000000e+05	0.0000000000000000e+00	1.0000000000000000e+10
